R_3nqIbIbz6QI0s3j,block,trial,cond,cat,resp,err,rt,fb
,2,19,Black people,Black people,Unpleasant,1,1826,
,2,20,Black people,Black people,Pleasant,0,1147,
,2,21,White people,White people,Unpleasant,1,9271,
,2,22,Black people,Black people,Pleasant,0,16849,
,2,23,White people,White people,Pleasant,0,1157,
,2,24,Black people,Black people,Pleasant,0,1282,
,2,25,White people,White people,Pleasant,0,1929,
,2,26,White people,White people,Pleasant,0,2314,
,2,27,Black people,Black people,Pleasant,0,1274,
,2,28,White people,White people,Pleasant,0,2003,
,2,29,Black people,Black people,Pleasant,0,22541,
,2,30,Black people,Black people,Pleasant,0,4287,
,2,31,White people,White people,Pleasant,0,900,
,3,32,instructions,dummyForLog,space,0,4459,
,3,33,Black people,Black people,Unpleasant,1,6091,
,3,34,White people,White people,Pleasant,0,1322,
,3,35,Black people,Black people,Pleasant,0,2090,
,3,36,White people,White people,Pleasant,0,1350,
,3,37,White people,White people,Unpleasant,1,757,
,3,38,Black people,Black people,Pleasant,0,871,
,3,39,White people,White people,Pleasant,0,848,
,3,40,Black people,Black people,Pleasant,0,755,
,3,41,Black people,Black people,Unpleasant,1,1044,
,3,42,White people,White people,Pleasant,0,926,
,3,43,White people,White people,Pleasant,0,875,
,3,44,Black people,Black people,Pleasant,0,922,
,3,45,Black people,Black people,Pleasant,0,868,
,3,46,White people,White people,Unpleasant,1,896,
,3,47,Black people,Black people,Pleasant,0,927,
,3,48,White people,White people,Pleasant,0,859,
,3,49,Black people,Black people,Pleasant,0,834,
,3,50,White people,White people,Pleasant,0,759,
,3,51,White people,White people,Pleasant,0,742,
,3,52,Black people,Black people,Pleasant,0,600,
,4,53,instructions,dummyForLog,space,0,55542,
,4,54,White people,White people,Unpleasant,1,656,
,4,55,Black people,Black people,Pleasant,0,988,
,4,56,White people,White people,Pleasant,0,771,
,4,57,Black people,Black people,Pleasant,0,837,
,4,58,White people,White people,Pleasant,0,764,
,4,59,Black people,Black people,Pleasant,0,707,
,4,60,Black people,Black people,Pleasant,0,896,
,4,61,White people,White people,Pleasant,0,611,
,4,62,Black people,Black people,Pleasant,0,968,
,4,63,White people,White people,Pleasant,0,755,
,4,64,Black people,Black people,Pleasant,0,959,
,4,65,White people,White people,Pleasant,0,904,
,4,66,Black people,Black people,Unpleasant,1,1219,
,4,67,White people,White people,Unpleasant,1,1501,
,4,68,White people,White people,Pleasant,0,1272,
,4,69,Black people,Black people,Pleasant,0,1280,
,4,70,White people,White people,Pleasant,0,1194,
,4,71,Black people,Black people,Pleasant,0,2874,
,4,72,Black people,Black people,Pleasant,0,858,
,4,73,White people,White people,Pleasant,0,2193,
,0,74,instructions,dummyForLog,space,0,2028,
,9,999,end,,,,,After White people: 25 of your responses were Pleasant; 5 of your responses were Unpleasant; <br/>After Black people: 5 of your responses were Unpleasant; 25 of your responses were Pleasant; <br/>
R_DC5TDy2R11pulk5,block,trial,cond,cat,resp,err,rt,fb
,1,0,instructions,dummyForLog,space,0,597,
,2,2,instructions,dummyForLog,space,0,915,
,2,3,White people,White people,Pleasant,0,541,
,2,4,Black people,Black people,Unpleasant,1,853,
,2,5,Black people,Black people,Pleasant,0,552,
,2,6,White people,White people,Pleasant,0,682,
,2,7,White people,White people,Pleasant,0,558,
,2,8,Black people,Black people,Unpleasant,1,415,
,2,9,White people,White people,Pleasant,0,439,
,2,10,Black people,Black people,Pleasant,0,477,
,2,11,White people,White people,Pleasant,0,579,
,2,12,Black people,Black people,Pleasant,0,610,
,2,13,White people,White people,Pleasant,0,442,
,2,14,Black people,Black people,Pleasant,0,856,
,2,15,White people,White people,Pleasant,0,566,
,2,16,Black people,Black people,Pleasant,0,628,
,2,17,White people,White people,Pleasant,0,667,
,2,18,Black people,Black people,Pleasant,0,540,
,2,19,Black people,Black people,Pleasant,0,491,
,2,20,White people,White people,Pleasant,0,464,
,2,21,White people,White people,Pleasant,0,474,
,2,22,Black people,Black people,Unpleasant,1,416,
,3,23,instructions,dummyForLog,space,0,990,
,3,24,Black people,Black people,Pleasant,0,658,
,3,25,White people,White people,Pleasant,0,387,
,3,26,White people,White people,Pleasant,0,510,
,3,27,Black people,Black people,Pleasant,0,447,
,3,28,Black people,Black people,Unpleasant,1,558,
,3,29,White people,White people,Pleasant,0,482,
,3,30,White people,White people,Pleasant,0,654,
,3,31,Black people,Black people,Unpleasant,1,1350,
,3,32,White people,White people,Pleasant,0,487,
,3,33,Black people,Black people,Pleasant,0,739,
,3,34,Black people,Black people,Pleasant,0,587,
,3,35,White people,White people,Pleasant,0,508,
,3,36,Black people,Black people,Pleasant,0,724,
,3,37,White people,White people,Pleasant,0,466,
,3,38,White people,White people,Pleasant,0,573,
,3,39,Black people,Black people,Pleasant,0,502,
,3,40,Black people,Black people,Pleasant,0,503,
,3,41,White people,White people,Pleasant,0,489,
,3,42,White people,White people,Pleasant,0,594,
,3,43,Black people,Black people,Pleasant,0,481,
,4,44,instructions,dummyForLog,space,0,1433,
,4,45,White people,White people,Pleasant,0,569,
,4,46,Black people,Black people,Unpleasant,1,1101,
,4,47,Black people,Black people,Pleasant,0,486,
,4,48,White people,White people,Pleasant,0,507,
,4,49,White people,White people,Pleasant,0,537,
,4,50,Black people,Black people,Unpleasant,1,479,
